id,ano,valor_total
220651,2024,532620.9999999998
92699,2025,532449.5700000001
160604,2023,532391.4199999993
220707,2023,532273.1200000002
74550,2025,532170.1800000002
204396,2025,532066.79
160548,2023,532000.9399999995
204572,2025,531678.57
92102,2025,531602.57
220665,2025,531520.3299999998
162332,2025,531516.5799999998
220682,2024,531391.3299999998
220631,2024,531390.6400000004
62881,2025,531385.0599999999
178933,2024,531134.4499999997
178860,2023,531099.7600000004
178931,2025,530854.9599999998
204409,2025,530675.4299999997
178927,2025,530512.1799999998
180214,2023,530385.17
178927,2024,530189.0600000005
74270,2025,530018.3900000002
220670,2024,530006.1
74454,2023,530004.0199999999
220690,2025,529885.4599999998
220669,2025,529870.8899999999
220696,2024,529764.2600000002
69871,2023,529747.1299999998
220668,2024,529539.6199999999
73531,2025,529536.5399999997
204351,2025,529496.5399999998
178934,2025,529223.7100000002
178934,2024,528858.3200000002
220690,2024,528756.1200000002
220551,2023,528379.5699999995
74398,2024,528176.7999999985
204351,2023,528035.59
204472,2025,528020.49
204355,2025,528018.2299999997
220694,2025,527898.1799999998
220529,2024,527740.2400000001
165470,2024,527733.2999999999
73768,2024,527647.3299999998
220584,2023,527567.1900000003
178929,2025,527427.7600000001
220543,2023,527365.6000000001
220695,2023,527260.3600000003
204567,2024,527185.7600000006
220543,2024,527176.2499999999
220540,2023,526791.38
220553,2023,526653.049999999
220692,2025,526632.1999999998
160559,2023,526602.77
178860,2024,526551.1499999997
74317,2023,526486.48
178993,2024,526455.5799999997
141458,2024,526405.3700000005
160758,2024,526400.3000000005
220586,2024,526361.6199999998
98615,2025,526025.2999999999
178910,2025,526018.9999999997
160610,2025,525979.1199999999
220578,2023,525951.2099999996
220692,2024,525818.3800000001
204486,2024,525754.6199999999
160527,2025,525704.5899999997
210989,2024,525677.96
220684,2024,525606.1200000005
178857,2024,525597.3999999973
80815,2025,525558.9499999997
143632,2023,525542.7800000001
220625,2025,525244.7800000005
205865,2025,525217.5400000002
74262,2024,525116.5699999988
160553,2023,525044.4200000012
226708,2024,524912.9400000002
220543,2025,524837.8900000004
73692,2023,524723.6100000009
160600,2025,524693.5000000005
220563,2025,524629.2600000001
162067,2025,524526.5199999992
160673,2024,524519.25
160600,2023,524503.6399999995
220555,2023,524437.2700000005
220583,2023,524380.08
74374,2023,524343.8
220648,2024,523978.9499999995
178929,2023,523928.7699999998
178843,2023,523824.96
204351,2024,523597.4200000003
220612,2025,523496.77000000025
178857,2023,523375.47999999934
204410,2023,523317.2999999998
220686,2025,523300.8599999999
178854,2024,523251.0700000002
220647,2024,523197.3399999998
204570,2023,523154.5300000002
178843,2024,523036.41
204511,2025,522921.26000000007
160548,2025,522631.80999999895
204356,2025,522602.2400000001
220529,2025,522446.1800000001
104552,2023,522393.4100000004
220557,2024,522327.5199999999
74356,2024,522084.90000000026
220554,2023,521917.27000000415
224333,2025,521611.50000000023
220641,2025,521553.2799999998
160569,2024,521532.87000000005
204559,2025,521476.1999999996
74400,2025,521414.54000000004
220554,2025,521387.5099999857
204395,2024,520904.9999999997
220702,2023,520730.63999999984
204410,2025,520722.9700000003
220546,2023,520642.09000000055
74383,2024,520609.0
160538,2023,520519.1100000007
204460,2025,520466.97999999963
178933,2025,520313.01999999996
220560,2023,520300.7299999999
220669,2024,520275.0999999999
220607,2025,520268.88000000006
204395,2023,520064.54
160517,2024,520060.1299999998
204574,2023,519974.0599999998
160610,2023,519704.5000000003
74159,2024,519545.3700000003
160569,2025,519532.9399999995
220594,2023,519499.5499999998
220668,2025,519490.26000000007
220706,2024,519476.67000000016
178964,2023,519216.15000000026
73433,2024,519006.5400000004
162332,2024,518844.80000000016
221328,2024,518783.93000000017
220704,2025,518699.18000000034
220556,2023,518554.8899999996
178966,2025,518186.2400000003
80815,2024,518119.11000000016
220642,2025,518013.4699999999
204504,2023,517958.74000000005
204411,2025,517907.91000000003
204534,2024,517899.32000000007
220701,2023,517892.41000000003
74383,2025,517790.94000000024
74273,2024,517614.1499999999
205476,2024,517505.7600000002
220618,2025,517370.9999999999
220683,2025,517247.40000000014
178881,2025,517236.4499999999
74478,2025,517097.32999999984
223128,2025,516966.01999999955
141464,2024,516916.5400000002
74383,2023,516901.7099999999
220674,2025,516759.48999999976
