id,tipoDespesa,valorLiquido,ranking
62881,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,452403.23,2.0
178908,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,524700.0,2.0
204379,PASSAGEM AÉREA - REEMBOLSO,24170.96,5.0
91228,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,950005.03,1.0
91228,COMBUSTÍVEIS E LUBRIFICANTES.,89544.65,4.0
220608,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,237405.92,3.0
143632,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,97690.92,5.0
178908,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,363527.22,3.0
180214,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,393404.89,2.0
141421,COMBUSTÍVEIS E LUBRIFICANTES.,141848.87,4.0
204378,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,732372.85,1.0
220540,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,716662.29,1.0
220591,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,284713.0,2.0
