id,nomeCivil,siglaUF,siglaPartido
204455,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,RJ,NOVO
162332,LUIZ HILOSHI NISHIMORI,PR,PSD
204526,LUIZ PHILIPPE DE ORLEANS BRAGANÇA,SP,PL
74784,LUIZA ERUNDINA DE SOUSA,SP,PSOL
178866,LUIZIANNE DE OLIVEIRA LINS,CE,PT
220669,LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE,PE,PP
166402,MAGDA MOFATTO HON,GO,PL
220648,FERNANDO JOSE DE SOUZA MARANGONI,SP,UNIÃO
156190,MARCEL VAN HATTEM,RS,NOVO
179000,MARCELO HENRIQUE TEIXEIRA DIAS,MG,PL
220599,MARCELO BEZERRA  CRIVELLA,RJ,REPUBLICANOS
133810,MARCELO PIRES MORAES,RS,PL
160161,MARCELO ANDRE CID HERACLITO DO PORTO QUEIROZ,RJ,PSDB
178983,MARCIO LUIZ ALVINO DE SOUZA,SP,PL
179001,MARCIO DELLA VALLE BIOLCHI,RS,MDB
220687,MARCIO JOSE HONAISER,MA,PDT
81055,MÁRCIO JERRY SARAIVA BARROSO,MA,PCdoB
150418,MÁRCIO CARLOS MARINHO,BA,REPUBLICANOS
160535,DIONILSO MATEUS MARCON,RS,PT
204431,MARCOS AURÉLIO  PÁDUA RIBEIRO GONÇALVES DE SAMPAIO,PI,PSD
204506,MARCOS ANTONIO PEREIRA,SP,REPUBLICANOS
220547,MARCOS SBOROWSKI POLLON,MS,PL
178943,MARCOS BEZERRA RIBEIRO SOARES,RJ,UNIÃO
220604,MARCOS PAULO BARBOSA TAVARES,RJ,PDT
220668,MARIA LEAL ARRAES DE ALENCAR,PE,SOLIDARIEDADE
74398,MARIA DO ROSÁRIO NUNES,RS,PT
204540,MARIA DO PARTO MENDES ROSAS,SP,REPUBLICANOS
220655,MARIO LUIS FRIAS,SP,PL
74158,MÁRIO LÚCIO HERINGER,MG,PDT
178858,MARIO S. M. NEGROMONTE JR.,BA,PP
220572,MARUSSA CASSIA FAVARO BOLDRIN,GO,MDB
178843,MARX BELTRÃO LIMA SIQUEIRA,AL,PP
220661,MATHEUS SOARES NORONHA,CE,PL
220609,MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES,RO,UNIÃO
220628,MAURICIO LUIZ DE SOUZA,MG,PL
220550,MAURICIO BEDIN MARCON,RS,PL
220647,MANOEL MAURICIO SILVA NEVES,SP,PP
204486,CARLOS MAURO BENEVIDES FILHO,CE,PDT
