id,tipoDespesa,valorLiquido,ranking
220560,PASSAGEM AÉREA - SIGEPA,144771.05,3.0
220662,PASSAGEM AÉREA - SIGEPA,439415.03,2.0
156190,PASSAGEM AÉREA - SIGEPA,316899.37,1.0
220539,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,701905.79,1.0
220708,PASSAGEM AÉREA - SIGEPA,108348.06,5.0
74374,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,936999.26,1.0
204526,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,231000.0,2.0
104552,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,306000.0,2.0
215043,COMBUSTÍVEIS E LUBRIFICANTES.,75147.8,5.0
226837,COMBUSTÍVEIS E LUBRIFICANTES.,115659.13,5.0
178835,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,352300.0,2.0
220606,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",82643.86,5.0
215043,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,962475.0,1.0
204549,PASSAGEM AÉREA - REEMBOLSO,87245.11,5.0
178881,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,398550.0,1.0
220668,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,131329.39,4.0
204472,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,259005.12,3.0
220668,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,772509.12,1.0
204406,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,423974.1,2.0
220604,PASSAGEM AÉREA - SIGEPA,390603.83,2.0
220572,PASSAGEM AÉREA - REEMBOLSO,18794.26,5.0
220620,PASSAGEM AÉREA - SIGEPA,220749.97,4.0
220713,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,128500.0,3.0
178943,PASSAGEM AÉREA - SIGEPA,456401.23,1.0
204459,PASSAGEM AÉREA - SIGEPA,286075.02,2.0
179000,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,289850.53,3.0
141516,PASSAGEM AÉREA - SIGEPA,393332.21,1.0
160556,PASSAGEM AÉREA - SIGEPA,136253.13999999998,5.0
220585,PASSAGEM AÉREA - SIGEPA,310130.31,3.0
204540,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,467600.0,1.0
213762,PASSAGEM AÉREA - SIGEPA,65619.56999999999,4.0
69871,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,286178.7,3.0
233594,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",4537.25,5.0
